Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
IB-39(PB)/2017,New Delhi(Principal Bench),Corporate Debtor,NA,NA,NA,NA,Unigreen Global Private Limited,NA,NA,NA,Not Available,Not Available,08.05.2017,NA,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/3.pdf,N,Y,Debtor,Allowed
IB-33 (PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Employee,NA,Unsecured,Iyogi Technical Services,Not Available,Not Available,Not Available,Not Available,24.03.2017,01.05.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/IyogiTechnicalServicesLtdFinal.pdf,N,Y,(Link broken),(Link broken)
IB-48 (PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Max Tech Oil and Gas Services Limited,05.01.2017,Not Available,Not Available,Not Available,13.04.2017,01.05.2017,Letter of balance confirmation,Admitted,Mr.Atanu Mukherjee,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/MaxTechOilGasServicesPvtLtdFinal.pdf,N,N,NA,NA
IB-43(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Gold Plus Glass Industry Limited,Not Available,08.02.2017,Not Available,Not Available,Not Available,28.04.2017,Invoices,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/EviroInternationalCorporationGoldPlusFinal.pdf,N,N,NA,NA
IB-68(PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,International Recreation and Amusement Limited,07.11.2014,30.01.2017,Not Available,18.04.2017,Not Available,28.04.2017,Invoices,Admitted,NA,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/SRConstructions.pdf,N,Y,Corporate Debtor,Allowed
IB-73(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Global Houseware Limited,14.02.2017,29.03.2017,Not Available,Not Available,Not Available,03.05.2017,Invoices,Admitted,Mr.Ashwani Kumar,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Global%20Plus%20Houseware%20Ltd.pdf,N,N,NA,NA
IB-66(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Others,NA,Unsecured,Ozone Builders and Developers Pvt. Ltd.,22.02.2014,Not Available,Not Available,Not Available,Not Available,27.04.2017,Flat purchase agreement,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/OzonwBuilders(SatishMittal)(Final).pdf,N,Y,(Link broken),(Link broken)
26 (ND)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Era Infra Engineering Limited,Not Available,08.01.2017,Not Available,01.03.2017,23.03.2017,12.04.2017,"""Insufficient funds"" balance confirmation from relevant financial institution",Admitted,Mr.Vivek Goyal,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Era%20Infra%20Engineering%20Ltd.%20Final.pdf,N,Y ,Corporate Debtor,Allowed
(IB) 24 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,RL Steel and Energy Limited,21.12.2011,15.02.2017,Not Available,27.02.2017,08.03.2017,31.03.2017,Ledger account entries and invoices combined,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Deem%20Roll%20-Tech%20Limited%20%20vs.%20r.l.%20Steel%20Energy%20ltd.pdf,N,N,NA,NA
(IB) 30 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,AMR Infrastructures,Not Available,Not Available,27.01.2017,Not Available,Not Available,31.03.2017,MOU for flat purchase,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Mukesh%20Kumar%20&%20anr.%20%20Vs..%20AMR%20infrastructructres.pdf,N,Y,Creditor,Allowed
