"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"13/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Express Equipment Rental and Logistic Pvt Ltd",NA,NA,NA,NA,NA,"11.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"11/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Anil Ltd.",NA,NA,NA,NA,NA,"09.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"12/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","DCW Ltd.","Not Available",NA,NA,NA,NA,"08.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"10/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"422500000","STI India Ltd.","Not Available","19.04.2017","Not Available","24.04.2017","28.04.2017","05.05.2017","Dismissed",NA,"Other","Y","N",NA,NA
"5/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"NBFC","66248691","Steel Konnect (India) Pvt. Ltd.",NA,NA,NA,"Not Available","Not Available","19.04.2017","Admitted","Mr. Ritu Rastogi",NA,"Y","Y","Creditor","Rejected"
"6/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Alok Industries Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","17.04.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"4/10/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"487963000","Gujarat Oleo Chem Ltd.","Not Available",NA,NA,"02.02.2017","05.04.2017","13.04.2017","Admitted","Shri Rakesh Chaturvedi",NA,"Y","N",NA,NA
"3/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"2250038","Stratus Foods Pvt. Ltd.","Not Available","20.02.2017","21.02.2017","15.03.2017","03.04.2017","10.04.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"01/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"1362000","Pooja Tex-Prints Pvt. Ltd.","Not Available","05.01.2017","09.01.2017","15.03.2017","28.03.2017","29.03.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"16/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"52646239","Agroh Infrastructure Developer (P) Ltd.","31.08.2014","04.04.2017","8.04.2017","06.05.2017","11.05.2017","18.05.2017","Admitted","Delegated to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"15/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","GEI Power Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","19.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"19/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","383106714(Principal)+820412819(corporate guarantor)","Asian Natural Resources India Ltd.","Not Available",NA,NA,"09.05.2017","12.05.2017","23.05.2017","Admitted","Niting Hasmukhlal Parikh",NA,"N","Y","Corporate Debtor","Rejected"
"19/7/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"50652000","New Tech Fittings Pvt. Ltd.","Not Available",NA,NA,"11.05.2017","Not Available","23.05.2017","Admitted","Devendra Padamchand Jain",NA,"Y","N",NA,NA
"18/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","820412819(Principal sum)+ 383106744(Guarantor)","Bhatia Global Trading Ltd.","Not Available",NA,NA,"09.05.2017","17.05.2017","23.05.2017","Admitted","Niting Hasmukhlal Parikh",NA,"N","Y","Corporate Debtor","Rejected"
"20/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"4989907","Shyam Industries Ltd.","Not Available","18.02.2017","Not Available","11.05.2017","12.05.2017","24.05.2017","Admitted","Delegated to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"26/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Anil Ltd.","Not Available",NA,NA,"Not Available","Not Available","25.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"17/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","492702852","Western Refrigeration Pvt. Ltd.","Not Available",NA,NA,"08.05.2017","12.05.2017","26.05.2017","Dismissed",NA,"Other","N","N",NA,NA
"21/10/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","New Tech Forge & Foundry Ltd. ","Not Available",NA,NA,"11.05.2017","15.05.2017","29.05.2017","Admitted","Arun Kumar Malani",NA,"Y","N",NA,NA
"22/10/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","Micro Forge (India) Ltd","Not Available",NA,NA,"11.05.2017","15.05.2017","29.05.2017","Admitted","Arun Kumar Malani",NA,"Y","N",NA,NA
"27/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Depositor","12570142","Oasis Textiles Ltd.","Not Available","07.06.2017",NA,"17.05.2017","19.05.2017","31.05.2017","Admitted","Umesh Harjivandas",NA,"N","N",NA,NA
