Case No,Bench,"Who filed?
(Corporate Debtor/ Operational Creditor/ Financial Creditor)",Type of Creditor ,Type of operational creditor,Type of financial creditor,Amount of Debt,Secured/ unsecured,Name of Corporate Debtor,Due Date for payment,Date of demand notice,Date of receipt/service of Demand Notice,Date of filing in NCLT,First date of case listing,Date of final disposal,Evidence of debt (What kind of document),Admitted/ dismissed,Category of reason for dismissal,Name of Insolvency Professional,URL,Appeal (Yes/No),Who appealed?,Appeal Allowed/Rejected
IB-39(PB)/2017,New Delhi(Principal Bench),Corporate Debtor,NA,NA,NA,970000000,NA,Unigreen Global Private Limited,NA,NA,NA,Not available,Not available,08.05.2017,NA,Dismissed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/principal_bench/2017/Others/3.pdf,N,NA,NA
IB-33 (PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Employee,NA,248399,Unsecured,Iyogi Technical Services,Not available,Not available,Not available,Not available,24.03.2017,01.05.2017,Not available,Dismissed,No demand notice,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/IyogiTechnicalServicesLtdFinal.pdf,N,NA,NA
IB-48 (PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Service provider(seismic),NA,9750240,Unsecured,Max Tech Oil and Gas Services Limited,05.01.2017,Not available,Not available,Not available,13.04.2017,01.05.2017,Letter of balance confirmation,Admitted,NA,Mr.Atanu Mukherjee,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/MaxTechOilGasServicesPvtLtdFinal.pdf,N,NA,NA
IB-43(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider,NA,1014190,Unsecured,Gold Plus Glass Industry Limited,Not available,08.02.2017,Not available,Not available,Not available,28.04.2017,Invoices,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/EviroInternationalCorporationGoldPlusFinal.pdf,N,NA,NA
IB-68(PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Service provider (construction),NA,1190978,Unsecured,International Recreation and Amusement Limited,07.11.2014,30.01.2017,Not available,18.04.2017,Not available,28.04.2017,Invoices,Admitted,NA,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/SRConstructions.pdf,N,NA,NA
IB-73(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Supplier,NA,28027382,Unsecured,Global Houseware Limited,14.02.2017,29.03.2017,Not available,Not available,Not available,03.05.2017,Invoices,Admitted,NA,Mr.Ashwani Kumar,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Global%20Plus%20Houseware%20Ltd.pdf,N,NA,NA
IB-66(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Property buyer,NA,3000000,Unsecured,Ozone Builders and Developers Pvt. Ltd.,22.02.2014,Not available,Not available,Not available,Not available,27.04.2017,Flat purchase agreement,Dismissed,Other,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/OzonwBuilders(SatishMittal)(Final).pdf,N,NA,NA
26 (ND)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider (construction),NA,6823328,Unsecured,Era Infra Engineering Limited,Not available,08.01.2017,Not available,01.03.2017,23.03.2017,12.04.2017,"""Insufficient funds"" balance confirmation from relevant financial institution",Admitted,NA,Mr.Vivek Goyal,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Era%20Infra%20Engineering%20Ltd.%20Final.pdf,Yes [Company Appeals (AT) (Ins) No.31 of 2017],Corporate Debtor,Allowed
(IB) 24 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Supplier,NA,559660,Unsecured,RL Steel and Energy Limited,21.12.2011,15.02.2017,Not available,27.02.2017,08.03.2017,31.03.2017,Ledger account entries and invoices combined,Dismissed,Time barred,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Deem%20Roll%20-Tech%20Limited%20%20vs.%20r.l.%20Steel%20Energy%20ltd.pdf,N,NA,NA
(IB) 30 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider,NA,2944175,Unsecured,AMR Infrastructures,Not available,Not available,27.01.2017,Not available,Not available,31.03.2017,MOU for flat purchase,Dismissed,Not a creditor,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Mukesh%20Kumar%20&%20anr.%20%20Vs..%20AMR%20infrastructructres.pdf,N,NA,NA
(IB) 19 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Property buyer,NA,2597940,Unsecured,J.B.K. Developers Pvt. Limited,Unclear,10.02.2017,Not available,Not available,Not available,31.03.2017,Allotment letter,Dismissed,Not a creditor,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Pawan%20Dubay%20&%20anr.%20Vs.%20J.B.K.%20Developers%20Pvt%20ltd%20..pdf,N,NA,NA
(IB) 21 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Supplier,NA,18485018,Unsecured,Amrapali Infrastructure Private Limited,Not available,Not available,28.01.2017,07.03.2017,14.03.2017,22.03.2017,Unclear,Dismissed,Other,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Amprapali%20Infrastructure%20Private%20Limited%20(Final).pdf,N,NA,NA
(IB) 22 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Decree holder,NA,37908428,Unsecured,Soril Infra Resources Limited,09.09.2016,13.01.2017,Not available,Not available,Not available,24.03.2017,Arbitration award,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Soril%20Infra%20Resources%20Ltd.%20(Annapurna)%20(Final.pdf,N,NA,NA
(IB) 15 PB/2017,New Delhi(Principal Bench),Corporate Debtor,NA,NA,NA,128832266,Unsecured,Clutch Auto Limited,NA,NA,NA,09.02.2017,10.03.2017,10.04.2017,NA,Admitted,Other,Mr. Mahipal Sharan Gupta,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Clutch%20Auto%20Ltd.(final).pdf,N,NA,NA
(IB) 20 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider (construction),NA,128832266,Unsecured,Clutch Auto Limited,Not available,Not available,Not available,Not available,10.03.2017,10.04.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Clutch%20Auto%20Ltd.(final).pdf,N,NA,NA
(ISB) 03-PB/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Service provider (construction),Not available,Unsecured,AMR Infrastructures,Not available,NA,NA,17.01.2017,19.01.2017,23.01.2017,Not available,Dismissed,Not a creditor,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/AMR%20Infrastructure%20Ltd.%20(Nikhil%20Mehta).pdf,N,NA,NA
(IB) 07 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider (construction),NA,3260833,Unsecured,Ambience Private Limited,Not available,Not available,25.01.2017,08.02.2017,Not available,01.03.2017,Unclear,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/One%20Coast%20Plaster%20and%20Ambience%20Private%20Limited..pdf,N,NA,NA
(IB) 08 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider (construction),NA,895900,Unsecured,Ambience Private Limited,Not available,Not available,25.01.2017,09.02.2017,Not available,01.03.2017,Unclear,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/One%20Coast%20Plaster%20and%20Ambience%20Private%20Limited..pdf,N,NA,NA
(IB) 10 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Property buyer,NA,1276884,Unsecured,AMR Infrastructures,Not available,Not available,Not available,Not available,Not available,20.02.2017,MOU for flat purchase,Dismissed,Not a creditor,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Col.%20Vinod%20Awasthy%20(Final).pdf,N,NA,NA
(IB) 10 PB/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Service provider(IT),NA,19337105,Unsecured,Gettit Infoservices Private Limited,Not available,14.02.2017,Not available,Not available,10.04.2017,12.04.2017,Unclear,Dismissed,Other,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/Getit%20Infoservices%20Pvt.%20Ltd..pdf,N,NA,NA
(IB)-78(ND)/2017,New Delhi (Bench II),Corporate Debtor,NA,NA,NA,16635301,Unsecured,Krishna Kraftex Private Limited,NA,NA,NA,26.04.2017,NA,15.05.2017,NA,Dismissed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/New_Delhi_Bench/2017/Others/krishnakraftexpvtltd.pdf,N,NA,NA
(IB)-70(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Property Buyer,3069000,Unsecured,Megasoft Infrastructure Private Limited,26.06.2014,Not available,Not available,Not available,Not available,08.05.2017,Development agreement,Dismissed,Not a creditor,NA,http://nclt.c2k.in/OtherNCLT/Publication/New_Delhi_Bench/2017/Others/MegaSoft.pdf,N,NA,NA
(IB)-76(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Service provider (construction),NA,8887502,Unsecured,Premier Restuarant Pvt Limited,17.08.2016,Not available,Not available,Not available,27.04.2016,08.05.2017,Invoices,Dismissed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/New_Delhi_Bench/2017/Others/Premier1.pdf,N,NA,NA
(IB)-56(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Supplier,NA,332137,Unsecured,Shree Radha Raman Packaging Limited,Not available,18.01.2017,Not available,Not available,18.04.2017,28.04.2017,Invoices and delivery receipts,Admitted,NA,Delegated to IBBI,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/SHREERADHARAMAN.pdf,N,NA,NA
(IB)-51(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Individual ,10000000,Unsecured,Kaliber Associates Private Limited,Not available,Not available,Not available,Not available,Not available,26.04.2017,TDS acknlowdgement through Form 26AS by Corporate Debtor,Admitted,NA,Mr.Ashish Agarwal,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/KaliberAssociatesPvtLtd.pdf,N,NA,NA
(IB)-42(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Supplier,NA,663452,Unsecured,Ekdantam Infra Private Limited,Not available,28.02.2017,Not available,29.03.2017,Not available,13.04.2017,Invoices,Admitted,NA,Mr.Rakesh Wadhwa,"http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/EKDANTAM%20INFRA%20PVT%20LTD.pdf
",N,NA,NA
(IB)-27(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Individual ,10171263,Unsecured,BK Educational Sevices Private Limited,25.02.2015,NA,NA,Not available,Not available,25.04.2017,Demand draft codes alongside bank statements,Dismissed,Other,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/BKEducationalServicesPvt.Ltd.(final).pdf,N,NA,NA
(IB)-35(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Service provider,NA,2469320,Unsecured,Helpline Hospitality Private Limited,Not available,28.02.2017,Not available,Not available,10.04.2017,24.04.2017,Invoices and ledger account of corporate debtor,Admitted,NA,Delegated to IBBI,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/Helpline%20Hospitality%20Pvt.%20Ltd..pdf,N,NA,NA
(IB)-37(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Supplier,NA,9080976,Unsecured,Pal Mohan Electronics Private Limited,Not available,23.02.2017,Not available,Not available,Not available,21.04.2017,Ledger account of creditor,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/Pal%20Mohan%20Electronics%20Pvt.%20Ltd..pdf,N,NA,NA
(IB)-44(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Service provider (IT),NA,2942430,Unsecured,Getit Stores Private Limited,Not available,04.01.2017,Not available,Not available,Not available,13.04.2017,Invoices,Dismissed,Other,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/GETIT%20STORES%20PVT%20LTD.pdf,N,NA,NA
(IB)-41(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Service provider (IT),NA,2418273,Unsecured,PTC Techno Private Limited,Not available,Not available,Not available,29.03.2017,Not available,11.04.2017,Invoices,Dismissed,Time barred,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/PTC%20Techno%20Pvt.%20Ltd..pdf,N,NA,NA
(IB)-32(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Property buyer,NA,13772565,Unsecured,Unitech Hi-Tech Developers Limited ,12.02.2013,24.01.2017,Not available,Not available,Not available,31.03.2017,Allotment letter,Dismissed,Not a creditor,NA,"http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/Raman%20Seth%20&%20anr.%20%20Vs.%20Unitech%20Hi%20-Tech%20Developers%20Ltd.pdf
",N,NA,NA
CP No. 839/I&BP/NCLT/Mah/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,4110000000,Unsecured,Shirdi Industries Limited,NA,NA,NA,Not available,Not available,18.05.2017,Books of accounts,Admitted,NA,Mr.Devendra Padamchand Jain,http://nclt.c2k.in/OtherNCLT/Publication/Mumbai_Bench/2017/Other/174.pdf,N,NA,NA
